      Step     Time          Energy          fmax
BFGS:    0 16:48:05     -110.600390        0.368890
BFGS:    1 16:48:05     -110.607805        0.359642
BFGS:    2 16:48:05     -110.698664        0.124272
BFGS:    3 16:48:06     -110.701104        0.102311
BFGS:    4 16:48:06     -110.706749        0.092102
BFGS:    5 16:48:06     -110.715509        0.087381
BFGS:    6 16:48:07     -110.721742        0.078933
BFGS:    7 16:48:07     -110.724366        0.121349
BFGS:    8 16:48:07     -110.726356        0.152559
BFGS:    9 16:48:07     -110.730899        0.185593
BFGS:   10 16:48:08     -110.738788        0.193927
BFGS:   11 16:48:08     -110.749004        0.146483
BFGS:   12 16:48:08     -110.755264        0.067919
BFGS:   13 16:48:09     -110.757145        0.036122
BFGS:   14 16:48:09     -110.757496        0.031586
BFGS:   15 16:48:09     -110.757714        0.025946
BFGS:   16 16:48:09     -110.758101        0.013871
