      Step     Time          Energy          fmax
BFGS:    0 11:21:12     -110.732985        0.173066
BFGS:    1 11:21:12     -110.737594        0.166792
BFGS:    2 11:21:13     -110.777154        0.086519
BFGS:    3 11:21:13     -110.778308        0.085491
BFGS:    4 11:21:13     -110.800842        0.180975
BFGS:    5 11:21:14     -110.802365        0.167384
BFGS:    6 11:21:14     -110.807259        0.126527
BFGS:    7 11:21:14     -110.812884        0.084449
BFGS:    8 11:21:14     -110.821282        0.068833
BFGS:    9 11:21:15     -110.825538        0.033129
BFGS:   10 11:21:15     -110.826613        0.031406
BFGS:   11 11:21:15     -110.826826        0.026639
BFGS:   12 11:21:16     -110.827009        0.020611
BFGS:   13 11:21:16     -110.827299        0.015655
      Step     Time          Energy          fmax
BFGS:    0 11:42:28     -110.732985        0.173066
BFGS:    1 11:42:28     -110.737594        0.166792
BFGS:    2 11:42:29     -110.777154        0.086519
BFGS:    3 11:42:29     -110.778308        0.085491
BFGS:    4 11:42:29     -110.800842        0.180975
BFGS:    5 11:42:30     -110.802365        0.167384
BFGS:    6 11:42:30     -110.807259        0.126527
BFGS:    7 11:42:30     -110.812884        0.084449
BFGS:    8 11:42:31     -110.821282        0.068833
BFGS:    9 11:42:31     -110.825538        0.033129
BFGS:   10 11:42:31     -110.826613        0.031406
BFGS:   11 11:42:31     -110.826826        0.026639
BFGS:   12 11:42:32     -110.827009        0.020611
BFGS:   13 11:42:32     -110.827299        0.015655
