      Step     Time          Energy          fmax
BFGS:    0 16:45:14     -110.583838        0.584088
BFGS:    1 16:45:14     -110.600141        0.558764
BFGS:    2 16:45:14     -110.752850        0.101829
BFGS:    3 16:45:15     -110.754818        0.097769
BFGS:    4 16:45:15     -110.778380        0.133463
BFGS:    5 16:45:15     -110.780042        0.124107
BFGS:    6 16:45:15     -110.785799        0.103395
BFGS:    7 16:45:16     -110.793733        0.120685
BFGS:    8 16:45:16     -110.807271        0.112779
BFGS:    9 16:45:17     -110.817273        0.110956
BFGS:   10 16:45:17     -110.821087        0.085376
BFGS:   11 16:45:17     -110.821934        0.068695
BFGS:   12 16:45:18     -110.822513        0.055490
BFGS:   13 16:45:18     -110.823462        0.038402
BFGS:   14 16:45:18     -110.824308        0.026879
BFGS:   15 16:45:19     -110.824696        0.025195
BFGS:   16 16:45:19     -110.824800        0.020459
BFGS:   17 16:45:20     -110.824878        0.015120
