      Step     Time          Energy          fmax
BFGS:    0 11:45:14     -110.732985        0.173066
BFGS:    1 11:45:14     -110.737594        0.166792
BFGS:    2 11:45:15     -110.777154        0.086519
BFGS:    3 11:45:15     -110.778308        0.085491
BFGS:    4 11:45:15     -110.800842        0.180975
BFGS:    5 11:45:16     -110.802365        0.167384
BFGS:    6 11:45:16     -110.807259        0.126527
BFGS:    7 11:45:16     -110.812884        0.084449
BFGS:    8 11:45:17     -110.821282        0.068833
BFGS:    9 11:45:17     -110.825538        0.033129
BFGS:   10 11:45:17     -110.826613        0.031406
BFGS:   11 11:45:17     -110.826826        0.026639
BFGS:   12 11:45:18     -110.827009        0.020611
BFGS:   13 11:45:18     -110.827299        0.015655
